episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.114349573945766,11.181129639778218,0.9696657315718626
3,24,10.982695202382317,10.564337077457502,-0.8367162498496246,0.8367162498496246,0,10.978132857485637,11.819411452231941,11.819411452231941,2,0.0,0.0,0.0,0.8367162498496246,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,10.974439512687438,10.551953542915186,-0.8449719395445037,0.8449719395445037,0,10.978132857485637,11.819411452231941,11.819411452231941,2,0.0,0.0,0.0,0.8408440946970641,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,10.943873448836394,9.938853812277511,-2.010039273117769,2.010039273117769,0,10.930831227405447,12.953912721954163,12.953912721954163,2,1.0,0.8604962789312826,0.8408440946970641,1.2305758208372992,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,10.936065278608993,9.927141556936407,-2.01784744334517,2.01784744334517,0,10.930831227405447,12.953912721954163,12.953912721954163,2,0.0,0.0,0.0,1.4273937264642669,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.296360208029498,10.967488887225993,-0.05629477927257476
7,56,10.945439830841206,10.043133778771493,-1.8046121041394283,1.8046121041394283,0,10.947498662921213,12.750051934980634,12.750051934980634,2,1.0,0.9317073655549702,1.4273937264642669,1.5028374019992992,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,10.951762069510014,10.052617136774707,-1.79828986547062,1.79828986547062,0,10.947498662921213,12.750051934980634,12.750051934980634,2,0.0,0.0,0.0,1.5520794792445194,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,8.283226066048,6.254299447153269,-4.057853237789458
9,72,5.6482454498524,2.718023764444291,-5.860443370816217,5.860443370816217,8,5.635080068727406,11.508688820668617,11.508688820668617,4,0.0,0.0,0.0,5.860443370816217,-3.8368728160858154,361.41873931884766,-260.9952697753906,0.04999437788501382,0.4807546138763428,-67.12236022949219,0.125,0.0,0.011621093750000002,0.17794921875,0.00986328125,5.5,0.875,5.836000999044328,2,0.0,,,
10,80,5.611601915148822,2.6630584623889226,-5.897086905519795,5.897086905519795,8,5.635080068727406,11.508688820668617,11.508688820668617,4,0.0,0.0,0.0,5.878765138168006,-4.410120964050293,314.4329032897949,-261.8237762451172,0.04996626917272806,1.0423463582992554,-67.38579559326172,0.25,0.0,0.038183593749999994,0.17326171875,0.00955078125,5.5,0.875,5.8882534050152024,2,1.0,10.848369326188102,9.687480914721855,-2.3217768229324918
11,88,11.24135369732603,10.366408919784117,-1.7498895550838238,1.7498895550838238,0,11.24362439405888,12.991243252409854,12.991243252409854,4,1.0,0.873800120403838,5.878765138168006,4.502473277139946,-5.3746514320373535,301.42311096191406,-260.8293914794922,0.04991758894175291,2.027783155441284,-67.02777481079102,0.5,0.125,0.06474609375,0.1476123046875,0.0080908203125,2.0,0.0,1.7505095590661968,2,0.0,,,
12,96,11.2443945791313,10.370970242492023,-1.7468486732785546,1.7468486732785546,0,11.24362439405888,12.991243252409854,12.991243252409854,4,0.0,0.0,0.0,3.8135671261745983,-6.726197004318237,276.7162666320801,-261.65222930908203,0.04985773749649525,3.3713936805725098,-67.26737785339355,0.5,0.0,0.09130859375,0.16388671875,0.00892578125,2.0,0.0,1.7484079143096674,2,1.0,4.708938799228989,1.1914316959767417,-7.035014206504494
13,104,4.7031154219283495,1.1931292380005107,-7.0199723678556785,7.0199723678556785,8,4.733342618626095,11.723087789784028,11.723087789784028,0,0.0,0.0,0.0,7.0199723678556785,-8.886330127716064,238.81874465942383,-261.4190368652344,0.049816627986729145,5.53972053527832,-67.16345596313477,0.25,0.25,0.11787109374999999,0.119619140625,0.006474609375,5.5,0.875,7.013832014823172,2,0.0,,,
14,112,4.695557681750952,1.1817926277344142,-7.027530108033076,7.027530108033076,8,4.733342618626095,11.723087789784028,11.723087789784028,0,0.0,0.0,0.0,7.023751237944378,-11.968420505523682,175.04718780517578,-261.3730773925781,0.04978675302118063,8.625450134277344,-67.13070297241211,0.25,0.0,0.14443359374999998,0.15451171875,0.00830078125,5.5,0.875,7.019563015669345,2,1.0,7.7284826534731685,5.4864495676623495,-4.484066171621636
15,120,4.6957646763788325,1.1612379037267813,-7.069053545304103,7.069053545304103,8,4.720547318207065,11.764818221682935,11.764818221682935,0,1.0,0.6619586028707594,7.023751237944378,7.0388520070642855,-15.959299087524414,98.91090297698975,-261.135498046875,0.049756898544728756,12.62313985824585,-67.03409576416016,0.25,0.125,0.17099609375,0.1313525390625,0.0070068359375,5.5,0.875,7.0737230242229865,2,0.0,,,
16,128,4.649757734438071,1.0922274908156413,-7.115060487244864,7.115060487244864,8,4.720547318207065,11.764818221682935,11.764818221682935,0,0.0,0.0,0.0,7.05790412710943,-23.066441535949707,40.475794315338135,-260.756103515625,0.04972705990076065,19.739432334899902,-66.89029312133789,0.25,0.125,0.19755859375,0.12703124999999998,0.006718750000000001,5.5,0.875,7.11335340208008,2,1.0,4.821975677968066,1.532268555132426,-6.579414245671279
17,136,4.791267270800438,1.4322544592461333,-6.718025623108609,6.718025623108609,8,4.794774985899704,11.509292893909047,11.509292893909047,0,1.0,0.6635848373662637,7.05790412710943,6.989928426309265,-26.454384803771973,37.354026794433594,-259.22691345214844,0.04969725292176008,23.15556526184082,-66.36344909667969,0.25,0.125,0.22412109375,0.1230029296875,0.0064501953125,5.5,0.875,6.756621723662086,2,0.0,,,
18,144,4.785369008778365,1.4234070662130254,-6.723923885130682,6.723923885130682,8,4.794774985899704,11.509292893909047,11.509292893909047,0,0.0,0.0,0.0,6.945594336112834,-26.31595802307129,31.36127758026123,-258.91937255859375,0.049667492508888245,23.025054931640625,-66.24379348754883,0.25,0.375,0.25068359375,0.0844482421875,0.0043798828124999994,5.5,0.875,6.735108102928208,2,1.0,7.904866621337385,6.060327014322531,-3.689079214029713
19,152,4.7154056371298285,1.4237144805450528,-6.583382313169549,6.583382313169549,8,4.708128430491646,11.298787950299378,11.298787950299378,0,0.0,0.0,0.0,6.893849761406651,-24.736741065979004,30.057754278182983,-257.16712951660156,0.049637794494628906,21.47763442993164,-65.64305877685547,0.25,0.5,0.27724609375,0.065244140625,0.0033496093749999997,5.5,0.875,6.600814108392285,2,0.0,,,
20,160,4.687503158106529,1.3818607620101055,-6.611284792192849,6.611284792192849,8,4.708128430491646,11.298787950299378,11.298787950299378,0,0.0,0.0,0.0,6.858529140254926,-24.253355026245117,26.981632232666016,-256.4078063964844,0.049608139321208,21.009584426879883,-65.37318801879883,0.25,0.25,0.30380859374999997,0.094423828125,0.004794921875,5.5,0.875,6.605903822838059,2,1.0,10.914300435337452,10.146457807835539,-1.535685255003827
21,168,4.895360961898486,1.6792677675547838,-6.432186388687404,6.432186388687404,8,4.827250934895888,11.32754735058589,11.32754735058589,0,1.0,0.6539229307504191,6.858529140254926,6.81115772341409,-25.086084365844727,23.087373733520508,-252.34669494628906,0.04957856982946396,21.91213035583496,-64.00432014465332,0.25,0.625,0.33037109375,0.0456005859375,0.0022900390625,5.5,0.875,6.439845074027792,2,0.0,,,
22,176,4.881845376782852,1.6589943898813333,-6.445701973803038,6.445701973803038,8,4.827250934895888,11.32754735058589,11.32754735058589,0,0.0,0.0,0.0,6.774612148452985,-24.54572105407715,18.20485496520996,-248.1155548095703,0.04954912979155779,21.444272994995117,-62.57945251464844,0.25,0.25,0.35693359375,0.0876123046875,0.0043408203125,5.5,0.875,6.461722830487011,2,1.0,7.870218399750644,5.9567316416585445,-3.826973516184199
23,184,11.04179518057842,10.486088304959376,-1.1114137512380964,1.1114137512380964,0,11.088825728280174,12.153208931816517,12.153208931816517,3,0.0,0.0,0.0,0.3704712504126988,-25.06208086013794,15.133411645889282,-243.8676643371582,0.04950162675231695,22.03455352783203,-61.141794204711914,0.5,0.75,0.38349609375,0.0279345703125,0.0013623046875,2.0,0.0,1.1064069030641148,2,0.0,,,
24,192,11.02070638334513,10.454455109109437,-1.1325025484713862,1.1325025484713862,0,11.088825728280174,12.153208931816517,12.153208931816517,3,0.0,0.0,0.0,0.5609790749273706,-24.878459453582764,13.202809929847717,-233.9969940185547,0.049443887546658516,22.01841640472412,-57.827165603637695,0.5,0.25,0.41005859375,0.08072753906249999,0.0038818359374999997,2.0,0.0,1.118585999447151,2,1.0,7.706688807377199,6.340343765662324,-1.8034539180188753
25,200,5.604302097991527,2.627335456321618,-5.953933283339815,5.953933283339815,8,5.636957401764079,11.558235381331341,11.558235381331341,4,1.0,0.2714606057977255,3.8135671261745983,4.241640357607642,-26.91932964324951,13.30674147605896,-225.53321075439453,0.04940475802868605,24.201955795288086,-54.99043273925781,0.25,0.5,0.43662109374999997,0.0515478515625,0.0024365234375,5.5,0.875,5.960271020502571,2,0.0,,,
26,208,5.593178874049965,2.6106506204092774,-5.965056507281377,5.965056507281377,8,5.636957401764079,11.558235381331341,11.558235381331341,4,0.0,0.0,0.0,4.528876382553264,-26.331724166870117,14.404054284095764,-219.12972259521484,0.04937669076025486,23.72173023223877,-52.84745407104492,0.25,0.75,0.46318359375,0.0244921875,0.0011328125000000001,5.5,0.875,5.95402327325397,2,1.0,7.882098288051979,5.672892606710645,-4.418411362682661
27,216,11.200093268639783,10.127511080966622,-2.1451643753463276,2.1451643753463276,0,11.181305501189769,13.34525764398611,13.34525764398611,4,1.0,0.32533488553618267,4.528876382553264,4.188346095809416,-28.660248279571533,13.282508611679077,-202.88916015625,0.04933207854628563,26.319771766662598,-47.42972469329834,0.5,0.5,0.48974609375,0.0468603515625,0.0021240234375000003,2.0,0.0,2.146442568287797,2,0.0,,,
28,224,11.202187500626614,10.130652428946865,-2.1430701433594965,2.1430701433594965,0,11.181305501189769,13.34525764398611,13.34525764398611,4,0.0,0.0,0.0,3.9326866017531756,-30.573410987854004,21.901172757148743,-176.2380485534668,0.04927920363843441,28.673075199127197,-38.55140209197998,0.5,0.5,0.51630859375,0.0443701171875,0.0019580078125,2.0,0.0,2.1436818358012406,2,1.0,4.770412243208255,1.3438162298464396,-6.8531920267236295
29,232,4.610069520167836,1.1710954108017841,-6.877948218732105,6.877948218732105,8,4.757658391956424,11.488017738899941,11.488017738899941,0,1.0,0.6346073394750448,6.774612148452985,6.784006336660178,-28.32332706451416,20.620632648468018,-147.12364959716797,0.04924472328275442,26.901558876037598,-28.865907669067383,0.25,0.625,0.54287109375,0.0316845703125,0.0013623046875,5.5,0.875,6.873796520684915,2,0.0,,,
30,240,4.55668890546755,1.091024488751355,-6.931328833432391,6.931328833432391,8,4.757658391956424,11.488017738899941,11.488017738899941,0,0.0,0.0,0.0,6.796283211391195,-27.182499885559082,17.989842772483826,-124.11433410644531,0.04922113846987486,26.13798427581787,-21.216888427734375,0.25,0.375,0.5694335937499999,0.0494384765625,0.0020458984375,5.5,0.875,6.932000348996164,2,1.0,7.797910512309999,5.764066766721891,-4.067687491176221
