episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,0,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,0,10.947861548040056,13.185244628569512,13.185244628569512,,381.674072265625,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.949578556781956,10.913404648962864,-0.07234781563818693,0.07234781563818693,0,10.951705623072638,11.021926372420143,11.021926372420143,-3.765205979347229,387.39894104003906,-261.51564025878906,0.049962522462010384,0.40257513523101807,-67.2829360961914,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.943975666070429,10.905000312895572,-0.07795070634971424,0.07795070634971424,0,10.951705623072638,11.021926372420143,11.021926372420143,-4.5110039710998535,367.3733367919922,-261.8357238769531,0.04990258626639843,1.148816391825676,-67.35479354858398,0.5,0.125,0.038183593749999994,0.15134765625,0.00833984375,2,1.0,,,
11,88,5.6298125904659475,2.680674283554036,-5.898276613823821,5.898276613823821,8,5.6410050820112305,11.528089204289769,11.528089204289769,-5.559332489967346,338.39941787719727,-262.26295471191406,0.04984270874410868,2.1958160400390625,-67.46231079101562,0.5,0.0,0.06474609375,0.16857421875,0.009238281249999999,2,0.0,,,
12,96,5.60633851701771,2.6454631733816796,-5.921750687272059,5.921750687272059,8,5.6410050820112305,11.528089204289769,11.528089204289769,-6.936996579170227,260.6770668029785,-262.2131118774414,0.049782910384237766,3.580088973045349,-67.41068458557129,0.5,0.0,0.09130859375,0.16388671875,0.00892578125,2,1.0,8.026377971981258,6.065281774501948,-3.9221923949586217
13,104,4.751012099498574,1.3707265534743653,-6.760571092048416,6.760571092048416,8,4.741783444929363,11.51158319154699,11.51158319154699,-9.088908195495605,206.45203971862793,-262.3249206542969,0.04972317349165678,5.735915184020996,-67.41296577453613,0.5,0.125,0.11787109374999999,0.13948242187499998,0.007548828125,2,0.0,,,
