episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.354802611288411,-0.8369193376820157,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.33598832716602,-0.8476703571805295,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.548394634062774,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.262098958904124,-2.2417975255230775,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.275503764282497,-2.2341376367354364,10.947861548040056,13.185244628569512,13.185244628569512,,372.1574401855469,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.046546392711689,-2.987692226081866
9,72,10.9495721035902,10.895306401967742,-0.07235426882994389,10.951705623072638,11.021926372420143,11.021926372420143,-3.7652041912078857,378.54208755493164,-261.515625,0.049962522462010384,0.4025737829506397,-67.28292846679688,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.943963516469582,10.885491374506662,-0.0779628559505614,10.951705623072638,11.021926372420143,11.021926372420143,-4.511029243469238,359.2944450378418,-261.83583068847656,0.04990258626639843,1.1488394886255264,-67.35483741760254,0.5,0.125,0.038183593749999994,0.15134765625,0.00833984375,2,1.0,,,
11,88,5.629806409431942,1.2060943132885706,-5.898282794857827,5.6410050820112305,11.528089204289769,11.528089204289769,-5.559122800827026,329.1208381652832,-262.2633056640625,0.04984270874410868,2.1956006288528442,-67.46243095397949,0.5,0.0,0.06474609375,0.16857421875,0.009238281249999999,2,0.0,,,
12,96,5.60645475286244,1.165228914291943,-5.9216344514273285,5.6410050820112305,11.528089204289769,11.528089204289769,-7.025627136230469,281.3405075073242,-262.00508880615234,0.04978290759027004,3.6721729040145874,-67.34133720397949,0.5,0.375,0.09130859375,0.10231933593749999,0.0055712890625,2,1.0,8.024828017152045,5.082021254811169,-3.9237423497878354
13,104,4.760240211960359,-0.30326702272961403,-6.751342979586631,4.741783444929363,11.51158319154699,11.51158319154699,-9.153542757034302,223.68844985961914,-261.94762420654297,0.049723207019269466,5.806798577308655,-67.28726959228516,0.5,0.0,0.11787109374999999,0.15919921874999998,0.00861328125,2,0.0,,,
14,112,4.733177084079101,-0.3506274965218147,-6.778406107467888,4.741783444929363,11.51158319154699,11.51158319154699,-12.422085285186768,147.002836227417,-261.40950775146484,0.04966359492391348,9.089991569519043,-67.07314109802246,0.5,0.375,0.14443359374999998,0.09638671875,0.00517578125,2,1.0,,,
