episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,17.964891782489072,17.883808542227992,-0.16216648052214921,0.16216648052214921,0,17.96483722838694,18.12705826301122,18.12705826301122,1,los,0.0,0.0,0.0,0.16216648052214921,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,17.964891782489072,17.883808542227992,-0.16216648052214921,0.16216648052214921,0,17.96483722838694,18.12705826301122,18.12705826301122,1,los,0.0,0.0,0.0,0.16216648052214921,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,14.019233582733843,14.407094311299911,1.93930364283033
3,24,17.22071963968624,17.22071963968624,0.0,-0.0,0,17.22071937122841,17.22071963968624,17.22071963968624,3,los,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,17.22071963968624,17.22071963968624,0.0,-0.0,0,17.22071937122841,17.22071963968624,17.22071963968624,3,los,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.031339265935005,11.584466603130204,2.765636685975993
5,40,10.815988219469993,11.591357815339835,3.8768479793492077,0.0,0,10.81710585356518,6.939140240120786,6.939140240120786,1,nlos,0.0,0.0,0.0,0.10811098701476614,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,10.815988219469993,11.591357815339835,3.8768479793492077,0.0,0,10.81710585356518,6.939140240120786,6.939140240120786,1,nlos,0.0,0.0,0.0,0.08108324026107461,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,15.050430917310395,15.215697525939529,0.8263330431456613
7,56,11.244837049858308,11.575351475870523,1.6525721300610705,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,11.244837049858308,11.575351475870523,1.6525721300610705,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,18.698920415275033,18.698920415275033,-1.7763568394002505e-15
9,72,18.855930828532227,18.855930828532227,-3.552713678800501e-15,3.552713678800501e-15,0,18.85593082853223,18.85593082853223,18.85593082853223,0,los,0.0,0.0,0.0,3.552713678800501e-15,-5.2728928327560425,532.7357330322266,-260.7518081665039,0.049970002844929695,1.923018217086792,-67.02792358398438,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2.0,0.0,0.0,2,0.0,,,
10,80,18.855930828532227,18.855930828532227,-3.552713678800501e-15,3.552713678800501e-15,0,18.85593082853223,18.85593082853223,18.85593082853223,0,los,0.0,0.0,0.0,3.552713678800501e-15,-10.08008074760437,322.26971435546875,-262.2129592895508,0.04991002194583416,6.7116159200668335,-67.48062133789062,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2.0,0.0,0.0,2,1.0,14.709622407791151,14.10463114772621,-1.209982520129886
11,88,18.54191000201784,18.54191000201784,0.0,-0.0,0,18.541911700331156,18.54191000201784,18.54191000201784,0,los,0.0,0.0,0.0,2.3684757858670005e-15,-19.09584617614746,80.29126262664795,-260.49884033203125,0.049850136041641235,15.761667251586914,-66.87396812438965,0.5,0.125,0.06474609375,0.147685546875,0.008095703125,2.0,0.0,0.0,2,0.0,,,
12,96,18.54191000201784,18.54191000201784,0.0,-0.0,0,18.541911700331156,18.54191000201784,18.54191000201784,0,los,0.0,0.0,0.0,1.7763568394002505e-15,-25.82230567932129,49.806851625442505,-248.50458145141602,0.04979046434164047,22.692925453186035,-62.84105205535889,0.5,0.0,0.09130859375,0.16388671875,0.00892578125,2.0,0.0,0.0,2,1.0,10.842169490388361,10.390122941327107,-0.4123428561534963
13,104,10.847331377660584,9.622347139578764,-2.449968476163649,2.449968476163649,0,10.879963979320982,13.297299853824233,13.297299853824233,2,nlos,0.0,0.0,0.0,2.449968476163649,-21.161479473114014,25.25578284263611,-233.54341506958008,0.049731467850506306,18.28542423248291,-57.82277488708496,0.5,0.125,0.11787109374999999,0.1393359375,0.0075390625,2.0,0.0,2.4437138968564303,2,0.0,,,
14,112,10.840293070978989,9.611789679556363,-2.4570067828452444,2.4570067828452444,0,10.879963979320982,13.297299853824233,13.297299853824233,2,nlos,0.0,0.0,0.0,2.4534876295044468,-21.763819217681885,30.02536654472351,-221.1041603088379,0.04967352142557502,19.09846830368042,-53.64906311035156,0.5,0.25,0.14443359374999998,0.11617675781249999,0.0062451171875,2.0,0.0,2.4546371899836026,2,1.0,10.816210464748544,10.46972529343433,-0.21809932212279914
15,120,10.814762099115903,11.13536955108719,1.603037259856423,0.0,0,10.724734095400565,9.21172483925948,9.21172483925948,0,nlos,0.0,0.0,0.0,1.4210854715202005e-15,-21.68178701400757,36.88572096824646,-205.07733917236328,0.04961691750213504,19.285726070404053,-48.28439426422119,0.5,0.125,0.17099609375,0.1313525390625,0.0070068359375,2.0,0.0,0.0,2,0.0,,,
16,128,10.832736014870331,11.156938249992502,1.6210111756108514,0.0,0,10.724734095400565,9.21172483925948,9.21172483925948,0,nlos,0.0,0.0,0.0,1.1842378929335002e-15,-20.550456047058105,33.70580339431763,-227.30963897705078,0.04956147586926818,17.791606903076172,-55.658504486083984,0.5,0.25,0.19755859375,0.1089990234375,0.0057666015625,2.0,0.0,0.0,2,1.0,10.81949382347338,10.517493731484016,0.015013831242116638
17,136,10.827787057332177,9.813233218756665,-2.0291076771510284,2.0291076771510284,0,10.823154250832532,12.856894734483205,12.856894734483205,1,nlos,0.0,0.0,0.0,0.47068812763906537,-22.042603492736816,29.382371187210083,-251.5418243408203,0.049505279399454594,18.889041900634766,-63.69279479980469,0.5,0.125,0.22412109375,0.12285644531249999,0.006440429687500001,2.0,0.0,2.016612760678728,2,0.0,,,
18,144,10.822476417595082,9.805267259151018,-2.0344183168881234,2.0344183168881234,0,10.823154250832532,12.856894734483205,12.856894734483205,1,nlos,0.0,0.0,0.0,0.7313098258472417,-22.19037961959839,28.94454288482666,-257.32288360595703,0.04944736370816827,18.946983337402344,-65.58320045471191,0.5,0.375,0.25068359375,0.08503417968749999,0.0044189453125,2.0,0.0,2.0335446521778735,2,1.0,10.859095680099308,11.288200569034196,2.145524444674428
19,152,10.813583995762166,11.225887744918735,2.061518745782843,0.0,0,10.809966240246329,8.752065249979323,8.752065249979323,1,nlos,0.0,0.0,0.0,0.62683699358335,-21.480841159820557,29.071612119674683,-255.45845794677734,0.04938814416527748,18.273606300354004,-64.92939949035645,0.5,0.625,0.27724609375,0.04962890624999999,0.00255859375,2.0,0.0,0.0,2,0.0,,,
20,160,10.821360856634612,11.235219977965668,2.06929560665529,0.0,0,10.809966240246329,8.752065249979323,8.752065249979323,1,nlos,0.0,0.0,0.0,0.5484823693854313,-22.666208267211914,27.853415727615356,-238.8097915649414,0.04932843195274472,19.73743772506714,-59.36279773712158,0.5,0.125,0.30380859374999997,0.11077148437499998,0.005634765625,2.0,0.0,0.0,2,1.0,10.91199523323479,11.131047286754217,1.1123920010065236
21,168,10.929977113197223,11.380957091662578,2.254899892326785,0.0,0,10.90443649632872,8.675077220870438,8.675077220870438,2,nlos,0.0,0.0,0.0,1.635658419669631,-22.90337371826172,29.163807153701782,-186.48649978637695,0.04926999006420374,20.836080074310303,-41.9502649307251,0.5,0.25,0.33037109375,0.091640625,0.004609375000000001,2.0,0.0,0.0,2,0.0,,,
22,176,10.932932522446015,11.384503582761127,2.2578553015755762,0.0,0,10.90443649632872,8.675077220870438,8.675077220870438,2,nlos,0.0,0.0,0.0,1.2267438147522234,-21.140235900878906,30.338175535202026,-146.8323631286621,0.04921595426276326,19.72467613220215,-28.75865650177002,0.5,0.5,0.35693359375,0.058652343749999995,0.00291015625,2.0,0.0,0.0,2,1.0,14.732928486400912,14.726070305766775,-0.01371636126827358
23,184,10.88862363230615,10.870870826666177,-0.03550561127994811,0.03550561127994811,0,10.91038076359687,10.924129243586098,10.924129243586098,2,nlos,0.0,0.0,0.0,0.9884961740577684,-22.064309120178223,30.612202167510986,-174.8331184387207,0.04916645959019661,20.193983554840088,-38.037068367004395,0.5,0.25,0.38349609375,0.08409667968750001,0.0041064453125,2.0,0.0,0.03213344944688332,2,0.0,,,
24,192,10.896971205883037,10.883392187031507,-0.027158037703060245,0.027158037703060245,0,10.91038076359687,10.924129243586098,10.924129243586098,2,nlos,0.0,0.0,0.0,0.8282731513319836,-21.854998111724854,32.44996380805969,-210.09793090820312,0.0491177006624639,19.41255521774292,-49.72076416015625,0.5,0.25,0.41005859375,0.080654296875,0.0038769531249999998,2.0,0.0,0.031452874617305136,2,1.0,17.773799466123847,17.773799466123847,0.0
