episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.316997386585827,9.808043728170306,-1.7752395981359115,1.7752395981359115,0,11.319258895750044,13.092236984721739,13.092236984721739,3,nlos,0.0,0.0,0.0,1.7752395981359115,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
2,16,11.316997386585827,9.808043728170306,-1.7752395981359115,1.7752395981359115,0,11.319258895750044,13.092236984721739,13.092236984721739,3,nlos,0.0,0.0,0.0,1.7752395981359115,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.05028957487939,11.051747088105436,1.1542571650816686
3,24,11.292668174338418,10.876998514686251,-0.48902312900254685,0.48902312900254685,0,11.291382735870279,11.781691303340965,11.781691303340965,3,nlos,0.0,0.0,0.0,1.3465007750914566,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
4,32,11.292668174338418,10.876998514686251,-0.48902312900254685,0.48902312900254685,0,11.291382735870279,11.781691303340965,11.781691303340965,3,nlos,0.0,0.0,0.0,1.1321313635692292,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,10.815199648596405,10.182822685529025,0.4085695459129344
5,40,10.807515337886947,11.227086611131817,2.7971418216324704,0.0,0,10.80977314119252,8.010373516254477,8.010373516254477,1,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
6,48,10.807515337886947,11.227086611131817,2.7971418216324704,0.0,0,10.80977314119252,8.010373516254477,8.010373516254477,1,nlos,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,13.865923202396507,13.023618865666263,-0.9909462785061693
7,56,10.826264323639466,9.14613531298742,-1.9766223654729984,1.9766223654729984,0,10.824585940846482,12.802886689112464,12.802886689112464,1,nlos,0.0,0.0,0.0,0.6588741218243328,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
8,64,10.826264323639466,9.14613531298742,-1.9766223654729984,1.9766223654729984,0,10.824585940846482,12.802886689112464,12.802886689112464,1,nlos,0.0,0.0,0.0,0.9883111827364992,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,14.088989943612544,14.389632702573948,2.0042850597426987
9,72,16.91085227269289,16.91085227269289,0.0,-0.0,0,16.91085227269289,16.91085227269289,16.91085227269289,3,los,0.0,0.0,0.0,0.9057050908553833,-5.261940956115723,280.8284435272217,-260.7620544433594,0.049970002844929695,1.9118959307670593,-67.03133773803711,0.5,0.0,0.011621093750000002,0.15822265625,0.007890625,2.0,0.0,0.0,2,0.0,,,
10,80,16.91085227269289,16.91085227269289,0.0,-0.0,0,16.91085227269289,16.91085227269289,16.91085227269289,3,los,0.0,0.0,0.0,0.7547542423794861,-10.001381754875183,152.23388290405273,-262.1526565551758,0.04991002194583416,6.633920669555664,-67.46050071716309,0.5,0.0,0.038183593749999994,0.15416015625,0.007640625,2.0,0.0,0.0,2,1.0,14.08538931308049,14.38592285654451,2.003556956426785
11,88,11.27321013908837,11.875408035694605,4.0146526440415675,0.0,0,11.270462338301593,7.258557495046802,7.258557495046802,3,nlos,0.0,0.0,0.0,0.6469322077538452,-18.125885725021362,34.894202709198,-260.7022171020508,0.049850130919367075,14.788326263427734,-66.94178581237793,0.5,0.125,0.06474609375,0.131494140625,0.0064765625,2.0,0.0,0.0,2,0.0,,,
12,96,11.259809353293392,11.859997132030381,4.001251858246589,0.0,0,11.270462338301593,7.258557495046802,7.258557495046802,3,nlos,0.0,0.0,0.0,0.5660656817846146,-19.774993419647217,28.452704191207886,-252.55607223510742,0.049790415447205305,16.578378915786743,-64.1915283203125,0.5,0.0,0.09130859375,0.14603515625000002,0.007140625,2.0,0.0,0.0,2,1.0,13.850824952216044,13.996618466673528,0.9719567630498878
13,104,16.90510721826061,16.90510721826061,0.0,-0.0,0,16.90510781723749,16.90510721826061,16.90510721826061,2,los,0.0,0.0,0.0,0.0,-16.616186141967773,17.464580416679382,-243.94580459594727,0.0497311563231051,13.567747831344604,-61.2889461517334,0.5,0.125,0.11787109374999999,0.12425781250000001,0.00603125,2.0,0.0,0.0,2,0.0,,,
14,112,16.90510721826061,16.90510721826061,0.0,-0.0,0,16.90510781723749,16.90510721826061,16.90510721826061,2,los,0.0,0.0,0.0,0.0,-19.489463329315186,17.796131134033203,-228.7161750793457,0.04967262223362923,16.698198318481445,-56.184247970581055,0.5,0.25,0.14443359374999998,0.1036865234375,0.00499609375,2.0,0.0,0.0,2,1.0,10.729036803871132,9.930619463835976,-0.12878425769809532
15,120,10.83180939249012,11.128686427352886,1.9791802324184165,0.0,0,10.815053026253093,8.852629160071704,8.852629160071704,1,nlos,0.0,0.0,0.0,0.7906489461891993,-19.88822078704834,16.766833901405334,-180.43407440185547,0.04961567046120763,17.899298667907715,-40.07905673980713,0.5,0.125,0.17099609375,0.1173388671875,0.00560546875,2.0,0.0,0.0,2,0.0,,,
16,128,10.8369637028772,11.134613884298027,1.984334542805497,0.0,0,10.815053026253093,8.852629160071704,8.852629160071704,1,nlos,0.0,0.0,0.0,0.6588741218243328,-18.50343084335327,16.933311820030212,-157.03518676757812,0.049562389962375164,16.903944969177246,-32.26838254928589,0.5,0.25,0.19755859375,0.09746582031249999,0.00461328125,2.0,0.0,0.0,2,1.0,10.740698795207544,9.675705075682894,-1.2529337876760618
17,136,10.650936285493628,8.770671109556474,-2.2120766775731244,2.2120766775731244,8,10.7178617595269,12.863012963066753,12.863012963066753,0,nlos,0.0,0.0,0.0,2.2120766775731244,-19.254841804504395,18.894535779953003,-156.2103271484375,0.0495124333538115,17.671401500701904,-31.976487159729004,0.5,0.125,0.22412109375,0.10997558593750001,0.00515234375,2.0,0.0,2.2297806871245816,2,0.0,,,
