episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_zone,rx_focus_selected,rx_focus_zone,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.233201195413612,9.245368480498824,-1.9878327149147879,1.9878327149147879,0,11.232134158629565,13.2210339103284,13.2210339103284,3,nlos,1.0,nlos,0.25,0.0,1.9878327149147879,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
2,16,11.233201195413612,9.245368480498824,-1.9878327149147879,1.9878327149147879,0,11.232134158629565,13.2210339103284,13.2210339103284,3,nlos,0.0,,0.0,0.0,1.9878327149147879,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,,,
3,24,10.71614663069456,11.02957418403517,2.0895170222707318,0.0,0,10.717247025204083,8.626629608423828,8.626629608423828,0,nlos,1.0,nlos,0.3333333333333333,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
4,32,10.71614663069456,11.02957418403517,2.0895170222707318,0.0,0,10.717247025204083,8.626629608423828,8.626629608423828,0,nlos,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.044694719118848,9.87146125783956,-0.44992577339490525,17.60321875953452,17.60967462387523,0.043039095604699096,10.974668632848108,9.662896101409874,-0.7549675559346516
5,40,10.864715022433607,9.008127146754473,-1.8565878756791356,1.8565878756791356,0,10.866881521974898,12.721302898112743,12.721302898112743,2,nlos,1.0,nlos,0.5,0.0,1.8565878756791356,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
6,48,10.864715022433607,9.008127146754473,-1.8565878756791356,1.8565878756791356,0,10.866881521974898,12.721302898112743,12.721302898112743,2,nlos,0.0,,0.0,0.0,1.8565878756791356,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,,,
7,56,10.81345959695855,11.241099510999263,2.850932760271429,0.0,0,10.813866921235183,7.962526836687121,7.962526836687121,1,nlos,1.0,nlos,1.0,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,0.0,,,
8,64,10.81345959695855,11.241099510999263,2.850932760271429,0.0,0,10.813866921235183,7.962526836687121,7.962526836687121,1,nlos,0.0,,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.16,0.0,,,,2,1.0,11.100617897215653,10.363629091390436,-0.10248402150719449,17.596657627294682,17.596657627294682,0.0,10.850911252499037,8.880337627434683,-1.9705736250643529
9,72,11.24066882333818,11.487929408869322,1.6484039035409417,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,1.0,nlos,0.5252253297305096,1.9878327149147879,1.3252218099431918,-5.255617618560791,272.2508735656738,-260.35501861572266,0.04997000424191356,1.9123593866825104,-66.89550399780273,0.5,0.0,0.008203125,0.15881510416666667,0.007927083333333335,2.0,0.0,0.0,2,0.0,,,
10,80,11.250127586529711,11.49880698653958,1.6578626667324734,0.0,0,11.248016553492745,9.592264919797238,9.592264919797238,3,nlos,0.0,,0.0,0.0,0.9939163574573939,-10.015173316001892,119.83405113220215,-262.40303802490234,0.0499100205488503,6.643542051315308,-67.54403877258301,0.5,0.0,0.026953124999999998,0.15610677083333332,0.007760416666666666,2.0,0.0,0.0,2,1.0,,,
11,88,11.301669355245869,9.570766334735474,-1.730903020510393,1.730903020510393,0,11.302627462351387,13.032572375756262,13.032572375756262,3,nlos,0.0,,0.0,0.0,1.1413136900679937,-17.667020797729492,15.660050809383392,-260.4657211303711,0.049850108101964,14.333393335342407,-66.86291313171387,0.5,0.125,0.045703125,0.13407552083333335,0.006635416666666666,2.0,0.0,1.73416644596094,2,0.0,,,
12,96,11.300818759225795,9.569065142695328,-1.731753616530467,1.731753616530467,0,11.302627462351387,13.032572375756262,13.032572375756262,3,nlos,0.0,,0.0,0.0,1.239720344478406,-17.992721557617188,16.67878547310829,-256.1209030151367,0.04979036981239915,14.736945152282715,-65.37980461120605,0.5,0.125,0.064453125,0.131748046875,0.0064921875,2.0,0.0,1.7343193796607794,2,1.0,10.866096062359476,10.5293686215376,0.4088686431690354,18.319744593249027,18.293238687755967,-0.007889418296298523,10.798567224429245,9.626707109752996,-0.5589264474409136
13,104,10.820250075402308,8.31283112646358,-2.507418948938728,2.507418948938728,8,10.845345071802472,13.327669024341036,13.327669024341036,2,nlos,1.0,nlos,0.6746988771613338,1.8565878756791356,2.0735315667656664,-15.281617403030396,9.140680193901062,-254.29421997070312,0.049730884842574596,12.061698913574219,-64.73709297180176,0.5,0.0,0.083203125,0.14798177083333333,0.007260416666666667,2.0,0.0,2.504121817425245,2,0.0,,,
14,112,10.827302584225365,8.326936144109695,-2.5003664401156716,2.5003664401156716,8,10.845345071802472,13.327669024341036,13.327669024341036,2,nlos,0.0,,0.0,0.0,2.1802402851031677,-17.103020191192627,6.974385738372803,-252.6373176574707,0.049671648535877466,13.916025400161743,-64.15155696868896,0.5,0.0,0.10195312499999999,0.14527343750000002,0.00709375,2.0,0.0,2.494237624188001,2,1.0,,,
