episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
3,24,10.982492114549926,10.564032445708916,-0.8369193376820157,0.8369193376820157,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
4,32,10.971741095051412,10.54790591646115,-0.8476703571805295,0.8476703571805295,0,10.978132857485637,11.819411452231941,11.819411452231941,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,11.10601433726734,10.82716849067618,0.2784139067246487
5,40,11.250848514048668,11.807026970355228,2.7808922815328003,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
6,48,11.248897381235658,11.804685610979616,2.77894114871979,0.0,0,11.25487942922018,8.469956232515868,8.469956232515868,,,,,,,,0.0,0.0,0.18,0.0,2,1.0,,,
7,56,10.943447103046434,9.822548340284893,-2.2417975255230775,2.2417975255230775,8,10.947861548040056,13.185244628569512,13.185244628569512,,,,,,,,0.0,0.0,0.18,0.0,2,0.0,,,
8,64,10.951106991834076,9.834038173466357,-2.2341376367354364,2.2341376367354364,8,10.947861548040056,13.185244628569512,13.185244628569512,,372.82659912109375,,0.05000000074505806,,,0.0,0.0,0.0,0.18,0.0,2,1.0,8.28731556227309,6.793469449232155,-2.987692226081866
9,72,10.963149433936124,10.933760964694114,-0.058776938484019325,0.058776938484019325,0,10.951705623072638,11.021926372420143,11.021926372420143,-3.746332347393036,369.1677703857422,-260.3367691040039,0.04996251966804266,0.4033603370189667,-66.8895034790039,0.5,0.0,0.011621093750000002,0.17794921875,0.00986328125,2,0.0,,,
10,80,10.940392466071755,10.899625512897558,-0.08153390634838864,0.08153390634838864,0,10.951705623072638,11.021926372420143,11.021926372420143,-4.504971385002136,351.33817291259766,-261.12213134765625,0.04990260303020477,1.1546721458435059,-67.11670303344727,0.5,0.0,0.038183593749999994,0.17326171875,0.00955078125,2,1.0,,,
11,88,5.625330792530812,2.6739515866513335,-5.902758411758957,5.902758411758957,8,5.6410050820112305,11.528089204289769,11.528089204289769,-5.562002062797546,328.16129302978516,-261.64195251464844,0.04984273295849562,2.2088112831115723,-67.25521469116211,0.5,0.125,0.06474609375,0.1476123046875,0.0080908203125,2,0.0,,,
12,96,5.623588434409165,2.671338049468863,-5.904500769880603,5.904500769880603,8,5.6410050820112305,11.528089204289769,11.528089204289769,-6.97123110294342,267.7266254425049,-262.3091125488281,0.04978291969746351,3.612730026245117,-67.44268035888672,0.5,0.375,0.09130859375,0.1025390625,0.005585937500000001,2,1.0,8.018273622678832,6.053125250548307,-3.930296744261049
