episode,global_step,avg_reward,avg_shaped_reward,avg_reward_margin,avg_hard_block_gap,hard_replay_added,episode_no_ris_rate,episode_phase_gradient_reflector_rate,episode_reward_baseline,rx_candidate_index,rx_focus_selected,rx_focus_selection_prob,rx_focus_candidate_avg_gap,rx_candidate_avg_gap_after_episode,avg_actor_loss,avg_critic_loss,avg_alpha_loss,avg_alpha,avg_mean_q,avg_mean_log_prob,avg_actor_updated,avg_collection_deterministic,avg_collection_deterministic_prob,avg_exploration_scale,avg_action_noise_std,avg_effective_policy_delay,avg_actor_gate_active,avg_online_hard_step_gap,rx_block_episodes,rx_reused,eval_avg_reward,eval_avg_shaped_reward,eval_avg_reward_margin
1,8,11.087280684644965,11.854715396132768,3.837173557439021,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
2,16,11.086901431133526,11.854260291919044,3.836794303927583,0.0,0,11.086519889925995,7.250107127205943,7.250107127205943,3,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
3,24,11.039273058818129,10.955536550757921,-0.16747301612041987,0.16747301612041987,0,11.036984185074111,11.206746074938549,11.206746074938549,3,1.0,1.0,0.0,0.05582433870680662,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
4,32,11.032895153424626,10.945969692667665,-0.17385092151392278,0.17385092151392278,0,11.036984185074111,11.206746074938549,11.206746074938549,3,0.0,0.0,0.0,0.08533098440858566,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,11.017468930659243,11.335876909369444,1.5920398935509938
5,40,11.100231607841234,10.063935367011943,-2.0725924816585835,2.0725924816585835,0,11.093668060262292,13.172824089499818,13.172824089499818,3,1.0,1.0,0.08533098440858566,0.4827832838585852,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
6,48,11.098878980735078,10.061906426352708,-2.0739451087647396,2.0739451087647396,0,11.093668060262292,13.172824089499818,13.172824089499818,3,0.0,0.0,0.0,0.7479769213429442,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,,,
7,56,11.286428251290944,10.225303366795146,-2.1222497689915922,2.1222497689915922,0,11.294911148726449,13.408678020282537,13.408678020282537,4,0.0,0.0,0.0,2.1222497689915922,,,,,,,,0.0,0.0,0.18,0.0,,,,2,0.0,,,
8,64,11.293193878571254,10.235451807715611,-2.115484141711283,2.115484141711283,0,11.294911148726449,13.408678020282537,13.408678020282537,4,0.0,0.0,0.0,2.1188669553514377,,,,,,,,0.0,0.0,0.18,0.0,,,,2,1.0,10.95509403330496,9.998488742890096,-1.9132105808297242
9,72,5.6213223402634505,2.677639100060868,-5.887366480405166,5.887366480405166,8,5.635080068727406,11.508688820668617,11.508688820668617,4,1.0,0.8266253872080503,2.1188669553514377,3.3750334637026804,-3.8345346450805664,370.47412872314453,-260.91314697265625,0.04999437788501382,0.47978705167770386,-67.09495544433594,0.125,0.0,0.011621093750000002,0.17794921875,0.00986328125,5.5,0.875,5.903214592683605,2,0.0,,,
10,80,5.629053320857748,2.689235570952315,-5.879635499810869,5.879635499810869,8,5.635080068727406,11.508688820668617,11.508688820668617,4,0.0,0.0,0.0,4.001183972729727,-4.409735679626465,320.66590118408203,-260.9384002685547,0.04996626917272806,1.0567280948162079,-67.09030151367188,0.25,0.0,0.038183593749999994,0.17326171875,0.00955078125,5.5,0.875,5.9265132827926195,2,1.0,,,
11,88,11.244971165435539,10.371835121948381,-1.7462720869743151,1.7462720869743151,0,11.24362439405888,12.991243252409854,12.991243252409854,4,1.0,0.9252185554250776,4.001183972729727,3.5502015955786446,-5.377121448516846,308.73781967163086,-261.3793411254883,0.04991758521646261,2.0210921466350555,-67.21126747131348,0.5,0.125,0.06474609375,0.1473193359375,0.0080712890625,2.0,0.0,1.745285288650205,2,0.0,,,
12,96,11.24701045114542,10.3748940505132,-1.7442328012644346,1.7442328012644346,0,11.24362439405888,12.991243252409854,12.991243252409854,4,0.0,0.0,0.0,3.2492067965262765,-6.741600871086121,284.74375915527344,-261.60020446777344,0.04985770769417286,3.387661099433899,-67.25003814697266,0.5,0.0,0.09130859375,0.16388671875,0.00892578125,2.0,0.0,1.7435371193704656,2,1.0,8.273845662506083,6.882355585066914,-2.4905437668288846
